id,"organ","sentence",frequency
7253,"бял дроб","Бял дроб-изострено дишане, с влажни хрипове в двете основи",1
7254,"опорно-двигателен апарат","ОДА-запазени пулсации на дурзалис педис",2
7255,"крайници","Крайници -артозни промениЗрение-",1
7256,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - артрозни промени,",4
7257,"общо състояние","Добро общо състояние,",7
7258,"опорно-двигателен апарат","ОДА-,повърхностни вени неразширени",1
7259,"опорно-двигателен апарат","ОДА - артрозни промени",10
7260,"общо състояние","Увредено общо състояние състояние",1
7261,"черен дроб","Черен дроб-неуголемен,неболезнен",11
7262,"опорно-двигателен апарат","ОДА-б.о,повърхностни вени неразширени Добро общо състояние",1
7263,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - болка и оток на палеца на ляв крак,",1
7264,"опорно-двигателен апарат","ОДА-разширени вени на двете подбедрици.",1
7265,"опорно-двигателен апарат","ОДА-запазени пулсации на дорзалис педис",1
7266,"опорно-двигателен апарат","ОДА-б.о,повърхностни вени неразширени   Добро общо състояние",1
7267,"сърце","Сърце-ритмична сърдечна дейност ,глухисърдечни тонове RR130",1
7268,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - артрозни промени, Колостома в ляво.",1
7269,"опорно-двигателен апарат","ОДА,повърхностни вени неразширени",1
7270,"сърце","Сърце - РСД 110/80",1
7271,"корем","Корем - спокоен.",5
7272,"опорно-двигателен апарат","ОДА-б.о,повърхностни вени неразширениМл",1
7273,"крайници","Крайници -артозни промени",1
7274,"сърце","СЪРЦЕ - RR100/70,",1
7275,"бъбрек","SR+двустранно",1
7276,"лимфни възли","ПЛВ не се палп увеличени",1
7277,"лимфни възли","ПЛВ не се палп увеличени.",4
7278,"корем","Корем-мек небол",4
7279,"език","Език-сухов",1
7280,"кръвно налягане","АН  120/80",1
7281,"сърце","Cor - а.с.д. 76  умин. , RR 12080",1
7282,"сърце","Cor - а.с.д. 76  умин. , RR   15080",1
7283,"сърце","Cor - а.с.д. 76  умин. , RR 13080",1
7284,"сърце","СЪРЦЕ-ритмична тахикардична сърдечна дейност ясни тонове",4
7285,"сърце","СЪРЦЕ-ритмична нормофреквентна дейност ясни тонове",62
7286,"корем","КОРЕМ-спокойно",55
7287,"бял дроб","БЯЛ ДРОБ-везикуларно без хрипове",87
7288,"сърце","СЪРЦЕ-ритмична нормофреквентна ясни тонове",1
7289,"сърце","СЪРЦЕ-ритмична нормофреквентна яснеи тонове",1
7290,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-оточен болезнен при палпация палец",1
7291,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-дв.коксартроза , тежка в ляво , скъсяване на ляв долен крайник с 4.5 см, спондилоартроза",13
7292,"сърце","СЪРЦЕ-ритмична нормофреквентно сър дейност ясни тонове",1
7293,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-палпаторно неувеличени",10
7294,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-палпаторна болка в/у ТБС./ + / пол с-ми на разтежение",1
7295,"сърце","СЪРЦЕ-ритмична нормофреквентна ясни  тонове без прибавени шумове",18
7296,"пулс","ПУЛС-36",10
7297,"сърце","СЪРЦЕ-ритмична нормофрекветна без добавени шумовве",2
7298,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-ТУ формация в обл на ляво бедродвижения",2
7299,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-неуголемена мекоеластична консистенция",3
7300,"сърце","СЪРЦЕ-ритмична нормофрекветна ясни тонове",3
7301,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-неувеличени при палпация",3
7302,"сърце","СЪРЦЕ-рсд яснои тонове",4
7303,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-оток иболка в обл на ляв глезен",1
7304,"бял дроб","БЯЛ ДРОБ-изострено везикуларно двустранно др вл хрипове",1
